Isolates,Basecalling,Mean read length,Mean read quality ,Nb of reads,Reads N50,STDEV read length,Total bases,Basecalling accuracy (%),Basecalling time (h)
Gd1111,Guppy,3668.2,10.1,674252,10007,7210.6,2473263255,90.2276277904419,8.497649167
Gd1111,Dorado,3647.7,10.6,674605,10068,7204.3,2460778445,91.2903641004392,2.783
Gd2185,Guppy,4058.2,9.3,2131569,6691,5415.1,8650439884,88.2510244506047,29.26272667
Gd2185,Dorado,4028.2,9.8,2133798,6683,5401.9,8595341432,89.528714519491,10.368
Gd2407,Guppy,4694.7,9.1,1221029,7096,6005.4,5732365737,87.6973122918762,21.60215833
Gd2407,Dorado,4664.1,9.7,1223587,7075,5992.5,5706960124,89.2848069476239,7.065
Gd267,Guppy,2847.1,10.1,1620006,5109,3711.8,4612309545,90.2276277904419,23.87736417
Gd267,Dorado,2823.2,10.7,1622703,5109,3703.5,4581162484,91.4886196179763,6.097
Gd293,Guppy,9057.3,10.6,902686,11906,5997.5,8175860002,91.2903641004392,28.78299389
Gd293,Dorado,9028.4,11.1,903513,11883,5987.4,8157275878,92.2375288337131,8.895
Gd442,Dorado,2660.9,10.1,7494580,5041,3553.5,19942646503,90.2276277904419,0.633
Gd442,Guppy,2685.1,9.6,7492052,5036,3560.5,20116999578,89.0352180385682,73.85045056
Gd45,Guppy,3301.1,10.6,1866723,7306,5339.5,6162275704,91.2903641004392,20.33997806
Gd45,Dorado,3279,11.1,1867144,7323,5335.8,6122371220,92.2375288337131,7.858
Gd4985,Guppy,5637.8,10.3,1069476,11938,7345.7,6029523748,90.6674569920301,21.724743056
Gd4985,Dorado,5609.7,10.8,1070667,11937,7335.9,6006136649,91.6823622889733,7.276
Gd4986,Dorado,1666.7,11,3937903,3485,2633.4,6563131710,92.0567176527572,9.555
Gd4986,Guppy,1689.4,10.6,3930130,3469,2638.6,6639424870,91.2903641004392,20.9108525
Gd614,Guppy,3517.3,10.3,480000,12446,7473.4,1688322891,90.6674569920301,5.412245556
Gd614,Dorado,3493.9,10.9,480239,12553,7469.1,1677911661,91.871694838359,2.203
Gd708,Guppy,2811.8,10.1,1637910,6377,4215.3,4605496165,90.2276277904419,16.26838833
Gd708,Dorado,2786,10.5,1641777,6383,4203.5,4573930403,91.0874906186625,6.635
Gd994,Guppy,4541.9,10.7,681870,11678,7524.8,3096991123,91.4886196179763,1.919016111
Gd994,Dorado,4518.5,11.4,682677,11690,7510.3,3084661541,92.7556403992501,4.296
