Isolate,Lineage,Contig,methylation,methylation_percent
Gd1111,1,contig_104,h,"8,4"
Gd1111,1,contig_104,m,21
Gd1111,1,contig_108,h,"8,3"
Gd1111,1,contig_108,m,"14,1"
Gd1111,1,contig_118,h,"8,4"
Gd1111,1,contig_118,m,"22,2"
Gd1111,1,contig_140,h,"8,4"
Gd1111,1,contig_140,m,"20,4"
Gd1111,1,contig_158,h,"8,9"
Gd1111,1,contig_158,m,"31,7"
Gd1111,1,contig_161,h,"8,7"
Gd1111,1,contig_161,m,"24,9"
Gd1111,1,contig_170,h,"8,2"
Gd1111,1,contig_170,m,"15,6"
Gd1111,1,contig_179,h,"8,8"
Gd1111,1,contig_179,m,"23,3"
Gd1111,1,contig_18,h,"8,6"
Gd1111,1,contig_18,m,"21,7"
Gd1111,1,contig_183,h,9
Gd1111,1,contig_183,m,"25,8"
Gd1111,1,contig_185,h,"8,7"
Gd1111,1,contig_185,m,"28,8"
Gd1111,1,contig_191,h,"8,4"
Gd1111,1,contig_191,m,"16,4"
Gd1111,1,contig_202,h,"8,3"
Gd1111,1,contig_202,m,"19,4"
Gd1111,1,contig_206,h,"8,5"
Gd1111,1,contig_206,m,"18,4"
Gd1111,1,contig_210,h,"8,7"
Gd1111,1,contig_210,m,"23,8"
Gd1111,1,contig_246,h,"8,2"
Gd1111,1,contig_246,m,"2,7"
Gd1111,1,contig_51,h,"8,5"
Gd1111,1,contig_51,m,"20,1"
Gd1111,1,contig_88,h,"8,3"
Gd1111,1,contig_88,m,"16,6"
Gd1111,1,contig_95,h,8
Gd1111,1,contig_95,m,"12,1"
Gd1111,1,contig_97,h,"8,1"
Gd1111,1,contig_97,m,"8,8"
Gd1111,1,contig_98,h,"8,8"
Gd1111,1,contig_98,m,"26,7"
Gd2185,2,contig_103,h,"6,4"
Gd2185,2,contig_103,m,"22,1"
Gd2185,2,contig_107,h,"6,4"
Gd2185,2,contig_107,m,"25,7"
Gd2185,2,contig_114,h,"6,2"
Gd2185,2,contig_114,m,"19,9"
Gd2185,2,contig_136,h,"7,9"
Gd2185,2,contig_136,m,"48,2"
Gd2185,2,contig_14,h,"6,4"
Gd2185,2,contig_14,m,"21,6"
Gd2185,2,contig_156,h,"6,3"
Gd2185,2,contig_156,m,"22,1"
Gd2185,2,contig_190,h,"6,2"
Gd2185,2,contig_190,m,"15,9"
Gd2185,2,contig_227,h,"6,3"
Gd2185,2,contig_227,m,"22,8"
Gd2185,2,contig_238,h,"6,2"
Gd2185,2,contig_238,m,"18,5"
Gd2185,2,contig_242,h,"6,2"
Gd2185,2,contig_242,m,"21,1"
Gd2185,2,contig_245,h,"6,5"
Gd2185,2,contig_245,m,"28,6"
Gd2185,2,contig_3,h,"6,5"
Gd2185,2,contig_3,m,"26,4"
Gd2185,2,contig_34,h,"6,4"
Gd2185,2,contig_34,m,"20,9"
Gd2185,2,contig_350,h,"5,8"
Gd2185,2,contig_350,m,"17,3"
Gd2185,2,contig_395,h,"5,4"
Gd2185,2,contig_395,m,"5,7"
Gd2185,2,contig_399,h,"6,2"
Gd2185,2,contig_399,m,"4,7"
Gd2185,2,contig_47,h,"6,2"
Gd2185,2,contig_47,m,"21,1"
Gd2185,2,contig_50,h,"6,3"
Gd2185,2,contig_50,m,"21,8"
Gd2185,2,contig_59,h,"6,3"
Gd2185,2,contig_59,m,"22,8"
Gd2185,2,contig_69,h,"6,2"
Gd2185,2,contig_69,m,21
Gd2185,2,contig_91,h,"6,2"
Gd2185,2,contig_91,m,"20,7"
Gd2185,2,contig_95,h,"6,2"
Gd2185,2,contig_95,m,"15,9"
Gd2407,1,contig_103,h,"8,7"
